Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2023-03-27 16:45:24,false,"Majadahonda Walking","12.59","1,212","02:55:29","146","175","3.5","80","176","13:56","5:29","215","210","0.91","0.0","--","--","--","17,772","--","--","No","00:08:01.8","13","02:49:09","02:55:29","649","722"
Walking,2023-03-26 16:24:13,false,"Majadahonda Walking","4.52","382","01:17:01","119","141","1.0","40","145","17:04","1:22","79","77","2.09","0.0","--","--","--","6,464","--","--","No","00:08:20.3","5","01:13:23","01:17:01","670","722"
Strength Training,2023-03-20 14:19:53,false,"Strength","0.00","95","00:09:15.0","143","167","2.3","--","--","--","--","--","--","--","0.0","--","--","--","120","60","8","No","00:09:15.0","1","00:05:43.1","00:09:43.8","--","--"
Walking,2023-03-20 12:52:57,false,"Majadahonda Walking","7.12","565","01:21:58","133","167","2.8","97","163","11:31","7:23","112","104","0.90","0.0","--","--","--","8,878","--","--","No","00:01:17.9","8","01:19:52","01:21:58","670","750"
Walking,2023-03-15 15:38:37,false,"Majadahonda Walking","14.06","1,087","02:44:18","131","154","3.4","109","247","11:41","6:21","168","171","0.79","0.0","--","--","--","18,064","--","--","No","00:00:45.1","15","02:39:56","02:44:18","670","750"
Walking,2023-03-14 16:42:16,false,"Majadahonda Walking","10.17","825","02:04:00","129","151","3.0","86","246","12:12","3:25","55","114","1.28","0.0","--","--","--","11,854","--","--","No","00:01:48.9","11","01:47:15","02:04:05","678","749"
Walking,2023-03-14 16:00:08,false,"Majadahonda Walking","2.10","188","00:23:23","145","162","2.2","110","237","11:07","7:09","32","5","0.82","0.0","--","--","--","2,668","--","--","No","00:01:12.1","3","00:23:23","00:23:23","718","749"
Running,2023-03-14 15:35:43,false,"Majadahonda - Run Walk Run®","2.34","221","00:23:58","147","176","2.6","116","230","10:13","7:23","66","24","0.85","0.0","--","--","--","3,006","--","--","No","00:06:17.6","3","00:23:09","00:23:58","670","717"
Walking,2023-03-13 17:26:19,false,"Majadahonda Walking","5.20","420","01:00:28","129","151","2.5","98","242","11:38","7:38","77","76","0.88","0.0","--","--","--","6,616","--","--","No","00:02:15.8","6","00:59:04","01:00:28","670","722"
Walking,2023-03-11 16:55:06,false,"Majadahonda Walking","11.88","930","02:12:03","129","157","3.2","107","250","11:07","6:06","88","88","0.85","0.0","--","--","--","14,786","--","--","No","00:04:41.6","13","02:07:15","02:12:04","701","744"
Walking,2023-03-10 16:17:05,false,"Majadahonda Walking","10.83","828","02:09:40","126","152","3.0","101","245","11:58","7:44","106","131","0.82","0.0","--","--","--","14,126","--","--","No","00:09:10.1","11","02:06:05","02:09:40","678","750"
Running,2023-03-10 16:07:12,false,"Majadahonda - Benchmark Run","0.80","82","00:09:00","141","159","2.0","113","242","11:14","1:53","31","2","0.80","0.0","--","--","--","1,056","--","--","No","00:02:00","3","00:08:59","00:09:00","670","706"
Walking,2023-03-09 16:20:31,false,"Majadahonda Walking","13.13","1,030","02:25:41","131","158","3.0","97","250","11:06","3:45","197","199","0.93","0.0","--","--","--","15,698","--","--","No","00:00:38.8","14","02:24:41","02:53:42","670","749"
Walking,2023-03-08 18:29:12,false,"Majadahonda Walking","4.10","328","01:00:17","115","145","1.0","83","220","14:41","10:57","70","113","0.83","0.0","--","--","--","5,842","--","--","No","00:00:07.4","6","00:58:12","01:00:17","670","721"
Walking,2023-03-08 17:35:31,false,"Majadahonda Walking","1.77","216","00:41:20","108","137","0.8","43","150","23:23","2:32","55","55","1.04","0.0","--","--","--","2,266","--","--","No","00:09:10.1","2","00:19:07","00:41:20","725","752"
Walking,2023-03-07 09:37:33,false,"Majadahonda Walking","10.73","833","02:16:04","128","161","2.5","102","233","12:40","9:18","139","130","0.77","0.0","--","--","--","14,634","--","--","No","00:10:03","11","02:14:16","02:16:04","670","750"
Walking,2023-03-06 12:49:31,false,"Majadahonda Walking","7.16","602","01:26:53","135","166","2.6","99","240","12:08","8:03","112","103","0.83","0.0","--","--","--","9,416","--","--","No","00:02:23.6","8","01:26:21","01:26:54","670","750"
Walking,2023-03-05 17:42:43,false,"Walking","5.80","580","01:13:59","140","160","2.9","111","231","12:46","6:07","--","--","0.70","0.0","--","--","--","8,454","--","--","No","00:09:44.2","6","01:12:09","01:13:59","--","--"
Walking,2023-03-05 13:51:32,false,"Walking","2.43","259","00:39:21","118","134","1.4","90","125","16:13","11:10","--","--","0.69","0.0","--","--","--","4,000","--","--","No","00:06:14.6","3","00:35:06","00:39:21","--","--"
Walking,2023-03-01 16:44:04,false,"Majadahonda Walking","3.74","313","00:50:29","125","155","1.5","85","217","13:29","10:42","74","69","0.89","0.0","--","--","--","5,112","--","--","No","00:00:02.3","6","00:50:27","00:50:29","670","719"
Walking,2022-08-20 11:51:22,false,"Pozuelo de Alarcón Walking","2.26","284","01:09:53","102","140","0.8","40","159","30:55","8:59","40","46","0.79","0.0","--","--","--","4,082","--","--","No","00:03:17.1","3","00:29:52","01:39:59","652","678"
Walking,2022-08-08 20:24:48,false,"Pozuelo de Alarcón Walking","6.43","430","01:18:14","123","157","2.3","85","160","12:10","9:45","91","82","0.98","0.0","--","--","--","8,296","--","--","No","00:00:01.6","10","01:17:36","01:18:18","643","696"
Treadmill Running,2022-08-01 11:14:34,false,"Treadmill Running","2.05","168","00:30:41","119","142","1.7","86","186","14:58","7:14","--","--","0.54","0.0","--","--","--","2,750","--","--","No","00:05:23.2","2","00:14:14","00:26:43","--","--"
Treadmill Running,2021-09-29 06:38:10,false,"Treadmill Running","2.99","337","00:35:55","147","172","3.3","120","167","12:00","5:24","--","--","0.81","0.0","--","--","--","4,598","--","--","No","00:06:45.9","4","00:27:14","00:35:55","--","--"
Walking,2021-09-07 19:54:46,false,"Madrid Walking","3.14","248","00:45:19","116","152","1.5","80","137","14:24","10:27","46","50","0.88","0.0","--","--","--","4,198","--","--","No","00:01:42.5","4","--:--:--","00:45:19","645","679"
Walking,2021-08-30 11:57:09,false,"Pozuelo de Alarcón Walking","2.96","223","00:38:16","122","148","1.6","100","131","12:55","9:52","43","40","0.77","0.0","--","--","--","3,940","--","--","No","00:11:49","3","--:--:--","00:38:16","666","694"
Treadmill Running,2021-08-16 19:11:41,false,"Treadmill Running","3.83","305","00:30:46","147","177","3.1","126","233","8:01","3:41","--","--","0.99","0.0","--","--","--","3,942","--","--","No","00:05:55.3","4","--:--:--","00:30:46","--","--"
Walking,2021-08-14 09:11:22,false,"Villaviciosa Walking","14.05","1,051","03:39:30","112","175","2.2","80","236","15:37","7:52","363","356","0.81","0.0","--","--","--","21,094","--","--","No","00:01:19.3","15","--:--:--","04:07:15","-2","149"
Walking,2021-08-13 13:21:01,false,"Ribadesella Walking","2.35","158","00:34:31","104","122","0.7","46","151","14:41","0:50","21","18","1.78","0.0","--","--","--","3,302","--","--","No","00:04:02.2","3","--:--:--","00:34:31","9","17"
Canoeing,2021-08-13 10:51:05,false,"Parres Kayak","7.14","500","01:10:22","123","144","2.5","9","147","9:51","4:19","49","59","15.03","0.0","--","--","--","878","--","--","No","00:02:24.6","8","--:--:--","01:20:14","12","38"
Pool Swim,2021-08-11 20:59:11,false,"Pool Swimming","750","202","00:10:48","136","165","2.0","--","--","1:15","0:27","--","--","--","0.0","234","53","25","--","--","--","No","00:10:48","1","--:--:--","00:10:51","--","--"
Walking,2021-08-08 13:01:51,false,"Gijón Walking","1.39","130","00:25:52","110","152","0.8","46","150","18:36","11:54","92","82","1.24","0.0","--","--","--","1,978","--","--","No","00:08:05.2","2","00:19:14","00:25:52","14","82"
Walking,2021-08-08 11:24:47,false,"Gijón Walking","3.44","276","01:13:54","95","113","0.4","29","177","21:27","8:43","61","55","1.59","0.0","--","--","--","4,702","--","--","No","00:09:09.5","4","00:37:14","01:13:54","14","38"
Walking,2021-08-07 11:38:18,false,"Gijón Walking","4.87","343","01:16:08","102","135","0.6","68","212","15:39","4:38","89","92","0.96","0.0","--","--","--","7,084","--","--","No","00:13:23","5","01:08:39","01:16:08","376","419"
Walking,2021-08-06 12:35:37,false,"Villaviciosa Walking","6.66","460","01:22:01","129","153","2.3","93","237","12:19","7:27","232","232","0.89","0.0","--","--","--","8,552","--","--","No","00:08:02.4","7","01:20:51","01:30:06","-2","48"
Trail Running,2021-08-06 12:04:54,false,"Villaviciosa - W02D7-Intervals","3.81","294","00:30:06","161","182","3.0","132","167","7:54","5:45","30","17","1.04","0.0","--","--","--","4,314","--","--","No","00:00:06.1","8","00:29:56","00:30:17","-1","18"
Walking,2021-08-06 11:50:39,false,"Villaviciosa Walking","0.80","61","00:11:23","95","113","0.4","70","209","14:14","9:12","--","2","1.00","0.0","--","--","--","1,028","--","--","No","00:11:23","1","00:09:35","00:12:15","--","6"
Walking,2021-07-31 21:33:25,false,"Pozuelo de Alarcón Walking","2.75","221","00:30:40","141","176","2.0","100","241","11:08","4:44","21","34","0.90","0.0","--","--","--","3,438","--","--","No","00:07:43.9","3","00:30:33","00:30:40","655","689"
Running,2021-07-31 21:08:16,false,"Pozuelo de Alarcón - W02D2-Intervals","2.77","226","00:24:06","157","187","2.7","129","177","8:41","6:08","17","35","0.92","0.0","--","--","--","3,326","--","--","No","00:00:06.4","7","00:24:04","00:24:07","654","692"
Treadmill Running,2021-07-29 20:55:52,false,"Treadmill Running","6.65","527","00:56:08","148","174","3.4","127","233","8:27","3:31","--","--","0.93","0.0","--","--","--","7,110","--","--","No","00:05:40.2","7","00:53:15","00:58:06","--","--"
Treadmill Running,2021-07-28 20:56:40,false,"Treadmill Running","0.54","52","00:06:12.1","128","150","1.0","109","166","11:29","5:41","--","--","0.80","0.0","--","--","--","724","--","--","No","00:06:12.1","1","00:05:37","00:06:12.1","--","--"
Treadmill Running,2021-07-28 19:35:06,false,"Treadmill Running","3.26","295","00:34:41","138","166","2.9","115","212","10:38","6:21","--","--","0.61","0.0","--","--","--","4,190","--","--","No","00:06:51.9","3","00:28:48","00:43:29","--","--"
Walking,2021-07-27 20:46:06,false,"Pozuelo de Alarcón Walking","3.65","324","00:38:21","151","171","2.5","108","248","10:31","6:33","53","36","0.89","0.0","--","--","--","4,480","--","--","No","00:06:27.2","4","00:38:20","00:38:21","650","690"
Running,2021-07-27 20:25:09,false,"Pozuelo de Alarcón - W01D4-Intervals","2.25","179","00:20:24","156","181","2.3","122","173","9:04","5:26","3","24","0.96","0.0","--","--","--","2,708","--","--","No","00:00:23.6","5","00:19:56","00:20:24","644","667"
Walking,2021-07-26 17:53:05,false,"Pozuelo de Alarcón Walking","5.55","413","01:12:20","128","163","2.1","85","218","13:02","6:17","88","80","0.93","0.0","--","--","--","7,398","--","--","No","00:06:41.6","6","01:11:33","01:12:20","654","702"
Treadmill Running,2021-07-26 12:27:13,false,"Treadmill Running","2.57","277","00:30:45","140","172","2.7","118","237","11:58","5:12","--","--","0.71","0.0","--","--","--","3,742","--","--","No","00:07:23.9","3","00:26:59","00:30:45","--","--"
Walking,2021-07-25 12:55:11,false,"Pozuelo de Alarcón Walking","4.60","341","00:54:42","134","161","2.1","91","237","11:53","9:21","46","47","0.93","0.0","--","--","--","5,940","--","--","No","00:06:59.9","5","00:54:15","00:55:54","648","677"
Cycling,2021-07-24 20:13:04,false,"Pozuelo de Alarcón Cycling","1.05","72","00:07:06.6","144","167","1.9","--","--","8.8","26.5","9","11","--","0.0","--","--","--","--","--","--","No","00:07:06.6","1","00:06:09","00:07:06.6","655","666"
Walking,2021-07-24 11:11:34,false,"Pozuelo de Alarcón Walking","0.86","83","00:10:38","140","165","1.2","91","129","12:20","9:42","10","2","0.89","0.0","--","--","--","1,150","--","--","No","00:10:38","1","00:09:46","00:10:38","654","675"
Walking,2021-07-24 10:04:04,false,"Madrid Walking","2.73","279","00:31:31","151","174","2.5","95","238","11:33","9:52","51","3","0.92","0.0","--","--","--","3,520","--","--","No","00:08:05.8","3","00:31:10","00:34:15","621","676"
Running,2021-07-24 09:51:07,false,"Madrid Running","1.75","135","00:12:18","171","188","2.6","162","169","7:01","5:52","--","46","0.88","0.0","--","--","--","2,012","--","--","No","00:05:22.3","2","00:12:14","00:12:18","624","675"
Cycling,2021-07-22 11:43:05,false,"El Vendrell Cycling","15.83","539","01:08:52","131","163","3.1","--","--","13.8","22.6","19","19","--","0.0","--","--","--","--","--","--","No","00:04:03.1","4","01:07:44","01:08:52","0","18"
Walking,2021-07-20 11:07:04,false,"El Vendrell Walking","5.66","364","01:06:39","113","135","1.8","98","126","11:46","7:12","52","52","0.87","0.0","--","--","--","7,270","--","--","No","00:07:15.3","6","01:04:10","01:51:33","2","18"
Walking,2021-07-11 13:08:22,false,"Pozuelo de Alarcón Walking","4.01","274","00:50:57","121","156","1.6","75","216","12:42","10:49","41","43","1.08","0.0","--","--","--","5,236","--","--","No","00:00:02.1","5","00:50:00","00:50:57","674","716"
Walking,2021-06-20 10:06:08,false,"Pozuelo de Alarcón Walking","8.55","639","01:43:00","127","160","2.5","98","244","12:03","6:21","132","135","0.87","0.0","--","--","--","10,980","--","--","No","00:06:09.9","9","01:36:14","02:04:51","649","699"
Walking,2021-04-30 14:01:40,false,"Pozuelo de Alarcón Walking","1.06","104","00:10:35","151","171","2.2","146","248","9:58","5:48","24","13","0.69","0.0","--","--","--","1,246","--","--","No","00:00:36.2","2","00:10:00","00:10:35","664","689"
Walking,2021-04-30 13:14:56,false,"Pozuelo de Alarcón Walking","5.08","411","00:44:27","152","166","3.0","116","249","8:45","2:37","18","46","1.02","0.0","--","--","--","5,154","--","--","No","00:00:14.6","6","00:44:25","00:44:27","687","733"
Running,2021-04-30 13:03:21,false,"Pozuelo de Alarcón Running","1.61","128","00:11:22","167","182","2.6","160","234","7:04","5:05","25","--","0.88","0.0","--","--","--","1,842","--","--","No","00:04:25.1","2","00:11:21","00:11:22","694","722"
Walking,2021-04-29 11:00:51,false,"Pozuelo de Alarcón Walking","2.86","229","00:27:31","141","169","2.3","119","248","9:37","6:57","21","61","0.88","0.0","--","--","--","3,366","--","--","No","00:07:56.0","3","00:27:31","00:27:31","654","716"
Running,2021-04-29 10:54:59,false,"Pozuelo de Alarcón - Cadence Drills","0.84","68","00:05:23.5","180","187","2.3","157","174","6:25","4:53","17","--","1.03","0.0","--","--","--","874","--","--","No","00:00:11.8","3","00:05:23.2","00:05:23.5","694","712"
Walking,2021-04-29 10:38:34,false,"Pozuelo de Alarcón Walking","1.54","123","00:15:30","139","166","2.0","120","133","10:03","8:09","35","10","0.83","0.0","--","--","--","1,894","--","--","No","00:05:22.3","2","00:15:30","00:15:30","654","690"
Walking,2021-04-26 12:47:47,false,"Pozuelo de Alarcón Walking","1.18","119","00:11:14","155","190","2.3","125","248","9:30","3:23","21","5","0.84","0.0","--","--","--","1,382","--","--","No","00:01:13.1","2","00:11:13","00:11:14","651","675"
Running,2021-04-26 12:38:39,false,"Pozuelo de Alarcón - Tired Run","1.61","111","00:08:39.5","180","190","2.9","169","176","5:23","5:00","5","33","1.10","0.0","--","--","--","1,482","--","--","No","00:03:14.6","2","00:08:39.5","00:08:39.5","660","695"
Walking,2021-04-25 12:02:38,false,"Pozuelo de Alarcón Walking","1.69","153","00:15:49","151","184","2.3","126","248","9:20","5:12","19","19","0.86","0.0","--","--","--","1,936","--","--","No","00:06:38.9","2","00:15:48","00:15:49","652","677"
Running,2021-04-25 11:56:29,false,"Pozuelo de Alarcón Running","1.01","67","00:05:47.1","170","187","2.2","168","173","5:45","5:05","--","23","1.03","0.0","--","--","--","968","--","--","No","00:00:01.7","2","00:05:46.4","00:05:47.1","668","695"
Walking,2021-04-23 11:56:24,false,"Pozuelo de Alarcón Walking","1.02","105","00:10:06","156","169","2.2","122","248","9:52","5:18","17","3","0.85","0.0","--","--","--","1,194","--","--","No","00:00:03.4","3","00:09:57.2","00:10:07","652","676"
Running,2021-04-23 11:43:17,false,"Pozuelo de Alarcón - Negative Split Run","2.03","158","00:12:45","177","187","3.1","164","175","6:17","5:16","2","31","0.97","0.0","--","--","--","2,088","--","--","No","00:00:14.5","3","00:12:38","00:12:45","657","694"
Walking,2021-04-21 08:58:44,false,"Pozuelo de Alarcón Walking","1.58","166","00:15:05","159","172","2.8","137","248","9:33","5:50","22","31","0.77","0.0","--","--","--","1,822","--","--","No","00:00:03.2","4","00:15:01","00:15:05","651","683"
Running,2021-04-21 08:48:58,false,"Pozuelo de Alarcón - Benchmark Run","1.32","108","00:09:00","172","189","2.7","148","248","6:48","5:11","9","25","0.99","0.0","--","--","--","1,344","--","--","No","00:02:00","3","00:09:00","00:09:00","668","695"
Walking,2021-04-20 12:03:46,false,"Pozuelo de Alarcón Walking","2.39","227","00:22:46","157","181","2.8","130","248","9:31","5:48","31","23","0.81","0.0","--","--","--","2,784","--","--","No","00:03:47.5","3","00:22:45","00:22:46","656","679"
Running,2021-04-20 11:57:58,false,"Pozuelo de Alarcón Running","0.83","64","00:05:34.0","168","186","2.1","164","235","6:44","4:25","--","6","0.91","0.0","--","--","--","912","--","--","No","00:05:34.0","1","00:05:33","00:05:34.0","653","667"
Walking,2021-04-01 11:26:01,false,"Pozuelo de Alarcón Walking","4.21","405","00:41:18","154","170","3.1","113","248","9:48","6:16","15","33","0.91","0.0","--","--","--","4,794","--","--","No","00:02:07.4","5","00:41:16","00:42:38","686","723"
Running,2021-04-01 11:18:47,false,"Pozuelo de Alarcón Running","1.01","77","00:06:36.8","167","185","2.3","163","171","6:33","5:26","8","--","0.94","0.0","--","--","--","1,090","--","--","No","00:00:06.6","2","00:06:36.6","00:06:36.8","708","720"
Walking,2021-03-02 09:02:47,false,"Pozuelo de Alarcón Walking","1.26","128","00:12:07","153","168","2.2","123","245","9:38","6:37","16","--","0.84","0.0","--","--","--","1,480","--","--","No","00:02:28.4","2","00:12:06","00:12:07","650","675"
Running,2021-03-02 08:39:15,false,"Pozuelo de Alarcón - Run","3.60","275","00:22:53","172","190","3.5","160","180","6:22","4:40","17","36","0.98","0.0","--","--","--","3,684","--","--","No","00:01:07.0","6","00:22:52","00:22:53","645","677"
Walking,2021-02-27 19:14:41,false,"Pozuelo de Alarcón Walking","1.01","107","00:11:13","143","154","1.9","99","245","11:06","8:30","22","1","0.91","0.0","--","--","--","1,258","--","--","No","00:00:01.1","4","00:11:07","00:11:13","652","675"
Running,2021-02-27 18:38:03,false,"Pozuelo de Alarcón - Run","4.57","339","00:29:28","168","184","3.5","161","180","6:27","4:31","53","56","0.96","0.0","--","--","--","4,860","--","--","No","00:00:06.7","7","00:29:13","00:34:37","660","698"
Walking,2021-02-26 13:40:34,false,"Pozuelo de Alarcón Walking","2.78","238","00:28:06","142","152","2.2","110","249","10:08","6:28","59","3","0.90","0.0","--","--","--","3,370","--","--","No","00:07:42.8","3","00:28:05","00:28:06","655","714"
Running,2021-02-26 13:22:02,false,"Pozuelo de Alarcón - Run","2.85","202","00:17:17","164","186","3.1","159","241","6:04","2:28","--","54","1.03","0.0","--","--","--","2,740","--","--","No","00:02:00","5","00:17:16","00:17:17","652","709"
Walking,2021-02-24 12:27:31,false,"Pozuelo de Alarcón Walking","0.76","84","00:08:24.7","147","157","1.7","108","248","11:01","6:15","21","--","0.84","0.0","--","--","--","960","--","--","No","00:08:24.7","1","00:07:44","00:08:24.7","653","676"
Running,2021-02-24 12:13:41,false,"Pozuelo de Alarcón - Run","2.02","140","00:12:02","169","186","2.8","156","245","5:58","4:27","10","37","1.05","0.0","--","--","--","1,866","--","--","No","00:02:00","4","00:12:01","00:12:02","652","695"
Walking,2021-02-21 08:28:20,false,"Pozuelo de Alarcón Walking","6.01","480","00:58:41","143","168","2.6","125","248","9:46","5:31","38","81","0.83","0.0","--","--","--","6,906","--","--","No","00:00:03.7","7","00:58:39","00:58:42","654","729"
Running,2021-02-21 08:06:30,false,"Pozuelo de Alarcón - Run","2.95","248","00:20:59","175","186","3.2","162","171","7:08","5:07","60","10","0.87","0.0","--","--","--","3,410","--","--","No","00:02:00","5","00:20:51","00:20:59","654","716"
Running,2021-02-18 11:20:12,false,"Pozuelo de Alarcón - Run","2.10","145","00:13:07","163","187","2.7","160","249","6:15","4:35","10","41","0.98","0.0","--","--","--","2,120","--","--","No","00:02:00","4","00:12:58","00:13:07","652","695"
Running,2021-02-13 18:38:49,false,"Pozuelo de Alarcón - Run","2.26","156","00:12:45","174","186","3.0","166","176","5:39","4:41","17","54","1.07","0.0","--","--","--","2,132","--","--","No","00:02:00","4","00:12:45","00:16:08","651","692"
Running,2021-02-12 12:33:26,false,"Pozuelo de Alarcón Running","5.00","392","00:30:53","178","191","3.9","166","178","6:10","4:48","11","9","0.96","0.0","--","--","--","5,176","--","--","No","00:00:00.6","6","00:30:49","00:30:53","707","717"
Walking,2021-02-10 12:31:27,false,"Pozuelo de Alarcón Walking","1.23","118","00:13:24","142","167","1.5","95","241","10:56","5:36","19","15","0.97","0.0","--","--","--","1,516","--","--","No","00:02:26.5","2","00:13:05","00:13:24","650","669"
Running,2021-02-10 12:17:15,false,"Pozuelo de Alarcón - Run","2.17","161","00:13:21","171","183","2.8","158","173","6:10","5:00","21","27","1.03","0.0","--","--","--","2,138","--","--","No","00:02:00","4","00:13:13","00:13:21","662","693"
Walking,2021-02-09 12:01:00,false,"Pozuelo de Alarcón Walking","2.17","185","00:22:00","141","165","2.1","122","248","10:07","6:41","34","24","0.81","0.0","--","--","--","2,668","--","--","No","00:01:38.1","3","00:21:59","00:22:00","655","690"
Running,2021-02-09 11:40:08,false,"Pozuelo de Alarcón - Run","2.88","229","00:19:47","168","182","3.0","157","171","6:53","5:39","18","42","0.92","0.0","--","--","--","3,152","--","--","No","00:02:00","5","00:19:29","00:20:10","652","695"
Running,2021-02-07 17:37:12,false,"Pozuelo de Alarcón - Run","2.08","142","00:12:18","165","185","2.7","156","242","5:55","4:17","9","35","1.06","0.0","--","--","--","1,958","--","--","No","00:02:00","4","00:12:12","00:12:18","653","696"
Running,2021-02-05 17:19:30,false,"Pozuelo de Alarcón - Walk/Run Repeats","4.07","326","00:26:07","177","188","3.6","156","180","6:25","4:00","9","50","1.00","0.0","--","--","--","4,148","--","--","No","00:00:02.0","13","00:25:51","00:26:11","643","696"
